point_uid,match_id,player1,player2,set_no,game_no,point_no,elapsed_time,rally_count,p1_score,p2_score,p1_break_pt,p2_break_pt,is_tiebreak_like,pressure_score,pressure_band,point_victor
2023-wimbledon-1301_S1_G5_P28,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,28,00:17:49,5,0,0,0,0,0,0.5,low,1
2023-wimbledon-1301_S1_G5_P29,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,29,00:18:25,1,15,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S1_G5_P30,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,30,00:18:50,3,30,0,0,0,0,0.30000000000000004,low,1
2023-wimbledon-1301_S1_G5_P31,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,31,00:19:20,2,40,0,0,0,0,1.2,medium,2
2023-wimbledon-1301_S1_G5_P32,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,32,00:20:03,2,40,15,0,0,0,1.2,medium,2
2023-wimbledon-1301_S1_G5_P33,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,33,00:20:55,2,40,30,0,0,0,1.2,medium,2
2023-wimbledon-1301_S1_G5_P34,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,34,00:21:27,5,40,40,0,0,0,1.5,medium,1
2023-wimbledon-1301_S1_G5_P35,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,5,35,00:22:19,1,AD,40,0,0,0,1.1,medium,1
2023-wimbledon-1301_S1_G6_P36,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,6,36,00:24:22,1,0,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G6_P37,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,6,37,00:24:53,6,0,15,0,0,0,0.6000000000000001,medium,1
2023-wimbledon-1301_S1_G6_P38,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,6,38,00:26:05,1,15,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G6_P39,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,6,39,00:26:30,1,15,30,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G6_P40,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,6,40,00:26:56,1,15,40,0,0,0,1.1,medium,2
2023-wimbledon-1301_S1_G7_P41,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,7,41,00:27:42,9,0,0,0,0,0,0.9,medium,1
2023-wimbledon-1301_S1_G7_P42,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,7,42,00:28:37,3,15,0,0,0,0,0.30000000000000004,low,1
2023-wimbledon-1301_S1_G7_P43,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,7,43,00:29:06,3,30,0,0,0,0,0.30000000000000004,low,1
2023-wimbledon-1301_S1_G7_P44,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,7,44,00:29:32,6,40,0,0,0,0,1.6,high,2
2023-wimbledon-1301_S1_G7_P45,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,7,45,00:30:17,5,40,15,0,0,0,1.5,medium,1
2023-wimbledon-1301_S1_G8_P46,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,8,46,00:32:34,1,0,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G8_P47,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,8,47,00:32:57,0,0,15,0,0,0,0.0,low,1
2023-wimbledon-1301_S1_G8_P48,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,8,48,00:33:33,1,15,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G8_P49,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,8,49,00:33:58,6,15,30,0,0,0,0.6000000000000001,medium,1
2023-wimbledon-1301_S1_G8_P50,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,8,50,00:34:46,16,30,30,0,0,0,1.6,high,1
2023-wimbledon-1301_S1_G8_P51,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,8,51,00:36:02,6,40,30,1,0,0,3.6,extreme,1
2023-wimbledon-1301_S1_G9_P52,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,52,00:37:18,1,0,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S1_G9_P53,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,53,00:37:44,2,15,0,0,0,0,0.2,low,2
2023-wimbledon-1301_S1_G9_P54,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,54,00:38:26,1,15,15,0,0,0,0.1,low,1
2023-wimbledon-1301_S1_G9_P55,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,55,00:38:54,4,30,15,0,0,0,0.4,low,2
2023-wimbledon-1301_S1_G9_P56,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,56,00:39:29,3,30,30,0,0,0,0.30000000000000004,low,1
2023-wimbledon-1301_S1_G9_P57,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,57,00:40:01,2,40,30,0,0,0,1.2,medium,2
2023-wimbledon-1301_S1_G9_P58,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,58,00:40:33,7,40,40,0,0,0,1.7000000000000002,high,1
2023-wimbledon-1301_S1_G9_P59,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,59,00:41:23,4,AD,40,0,0,0,1.4,medium,2
2023-wimbledon-1301_S1_G9_P60,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,60,00:42:31,6,40,40,0,0,0,1.6,high,2
2023-wimbledon-1301_S1_G9_P61,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,61,00:43:18,7,40,AD,0,1,0,3.7,extreme,1
2023-wimbledon-1301_S1_G9_P62,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,62,00:43:59,1,40,40,0,0,0,1.1,medium,1
2023-wimbledon-1301_S1_G9_P63,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,9,63,00:44:29,3,AD,40,0,0,0,1.3,medium,1
2023-wimbledon-1301_S2_G1_P64,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,1,64,00:47:04,1,0,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G1_P65,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,1,65,00:47:27,1,0,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G1_P66,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,1,66,00:47:52,1,0,30,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G1_P67,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,1,67,00:48:17,1,0,40,0,0,0,1.1,medium,2
2023-wimbledon-1301_S2_G2_P68,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,68,00:49:17,1,0,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G2_P69,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,69,00:49:38,1,15,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G2_P70,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,70,00:50:14,2,30,0,0,0,0,0.2,low,2
2023-wimbledon-1301_S2_G2_P71,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,71,00:51:10,12,30,15,0,0,0,1.2000000000000002,medium,2
2023-wimbledon-1301_S2_G2_P72,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,72,00:51:54,1,30,30,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G2_P73,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,73,00:52:21,2,40,30,0,0,0,1.2,medium,2
2023-wimbledon-1301_S2_G2_P74,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,74,00:53:06,2,40,40,0,0,0,1.2,medium,2
2023-wimbledon-1301_S2_G2_P75,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,2,75,00:54:11,2,40,AD,0,1,0,3.2,extreme,2
2023-wimbledon-1301_S2_G3_P76,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,3,76,00:54:56,1,0,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G3_P77,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,3,77,00:55:20,1,0,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G3_P78,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,3,78,00:55:50,3,0,30,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S2_G3_P79,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,3,79,00:57:08,7,0,40,0,0,0,1.7000000000000002,high,2
2023-wimbledon-1301_S2_G4_P80,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,80,00:59:22,10,0,0,0,0,0,1.0,medium,2
2023-wimbledon-1301_S2_G4_P81,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,81,01:00:17,1,0,15,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G4_P82,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,82,01:00:41,1,15,15,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G4_P83,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,83,01:01:21,8,30,15,0,0,0,0.8,medium,2
2023-wimbledon-1301_S2_G4_P84,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,84,01:02:05,4,30,30,0,0,0,0.4,low,2
2023-wimbledon-1301_S2_G4_P85,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,85,01:02:54,3,30,40,0,1,0,3.3,extreme,1
2023-wimbledon-1301_S2_G4_P86,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,86,01:03:50,3,40,40,0,0,0,1.3,medium,1
2023-wimbledon-1301_S2_G4_P87,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,4,87,01:04:21,11,AD,40,0,0,0,2.1,high,1
2023-wimbledon-1301_S2_G5_P88,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,88,01:05:38,5,0,0,0,0,0,0.5,low,2
2023-wimbledon-1301_S2_G5_P89,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,89,01:06:16,1,0,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G5_P90,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,90,01:06:46,6,0,30,0,0,0,0.6000000000000001,medium,1
2023-wimbledon-1301_S2_G5_P91,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,91,01:07:42,8,15,30,0,0,0,0.8,medium,1
2023-wimbledon-1301_S2_G5_P92,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,92,01:08:26,10,30,30,0,0,0,1.0,medium,1
2023-wimbledon-1301_S2_G5_P93,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,93,01:09:19,5,40,30,1,0,0,3.5,extreme,2
2023-wimbledon-1301_S2_G5_P94,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,94,01:10:24,10,40,40,0,0,0,2.0,high,1
2023-wimbledon-1301_S2_G5_P95,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,95,01:11:30,3,AD,40,1,0,0,3.3,extreme,2
2023-wimbledon-1301_S2_G5_P96,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,96,01:12:08,1,40,40,0,0,0,1.1,medium,2
2023-wimbledon-1301_S2_G5_P97,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,5,97,01:12:37,5,40,AD,0,0,0,1.5,medium,2
2023-wimbledon-1301_S2_G6_P98,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,98,01:14:48,2,0,0,0,0,0,0.2,low,2
2023-wimbledon-1301_S2_G6_P99,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,99,01:15:27,1,0,15,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G6_P100,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,100,01:15:55,2,15,15,0,0,0,0.2,low,2
2023-wimbledon-1301_S2_G6_P101,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,101,01:16:53,1,15,30,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G6_P102,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,102,01:17:22,1,30,30,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G6_P103,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,103,01:17:48,10,40,30,0,0,0,2.0,high,2
2023-wimbledon-1301_S2_G6_P104,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,104,01:18:30,3,40,40,0,0,0,1.3,medium,1
2023-wimbledon-1301_S2_G6_P105,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,6,105,01:19:01,1,AD,40,0,0,0,1.1,medium,1
2023-wimbledon-1301_S2_G7_P106,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,106,01:19:57,4,0,0,0,0,0,0.4,low,1
2023-wimbledon-1301_S2_G7_P107,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,107,01:20:31,3,15,0,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S2_G7_P108,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,108,01:21:06,3,15,15,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S2_G7_P109,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,109,01:21:41,3,15,30,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S2_G7_P110,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,110,01:22:15,2,15,40,0,0,0,1.2,medium,1
2023-wimbledon-1301_S2_G7_P111,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,111,01:22:46,8,30,40,0,0,0,1.8,high,1
2023-wimbledon-1301_S2_G7_P112,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,112,01:23:58,8,40,40,0,0,0,1.8,high,1
2023-wimbledon-1301_S2_G7_P113,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,113,01:25:01,1,AD,40,1,0,0,3.1,extreme,2
2023-wimbledon-1301_S2_G7_P114,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,114,01:25:32,7,40,40,0,0,0,1.7000000000000002,high,2
2023-wimbledon-1301_S2_G7_P115,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,115,01:26:17,4,40,AD,0,0,0,1.4,medium,1
2023-wimbledon-1301_S2_G7_P116,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,116,01:26:59,6,40,40,0,0,0,1.6,high,1
2023-wimbledon-1301_S2_G7_P117,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,7,117,01:28:28,2,AD,40,1,0,0,3.2,extreme,1
2023-wimbledon-1301_S2_G8_P118,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,8,118,01:30:29,1,0,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G8_P119,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,8,119,01:30:48,1,15,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G8_P120,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,8,120,01:31:21,3,30,0,0,0,0,0.30000000000000004,low,1
2023-wimbledon-1301_S2_G8_P121,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,8,121,01:31:59,3,40,0,0,0,0,1.3,medium,1
2023-wimbledon-1301_S2_G9_P122,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,9,122,01:32:45,2,0,0,0,0,0,0.2,low,1
2023-wimbledon-1301_S2_G9_P123,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,9,123,01:33:11,1,15,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G9_P124,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,9,124,01:33:37,1,15,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G9_P125,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,9,125,01:34:16,1,15,30,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G9_P126,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,9,126,01:34:42,3,15,40,0,0,0,1.3,medium,2
2023-wimbledon-1301_S2_G10_P127,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,10,127,01:36:28,1,0,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G10_P128,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,10,128,01:36:57,6,15,0,0,0,0,0.6000000000000001,medium,2
2023-wimbledon-1301_S2_G10_P129,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,10,129,01:38:01,1,15,15,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G10_P130,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,10,130,01:38:43,7,30,15,0,0,0,0.7000000000000001,medium,1
2023-wimbledon-1301_S2_G10_P131,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,10,131,01:39:23,2,40,15,0,0,0,1.2,medium,2
2023-wimbledon-1301_S2_G10_P132,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,10,132,01:39:56,5,40,30,0,0,0,1.5,medium,1
2023-wimbledon-1301_S2_G11_P133,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,11,133,01:40:44,1,0,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G11_P134,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,11,134,01:41:10,1,0,15,0,0,0,0.1,low,2
2023-wimbledon-1301_S2_G11_P135,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,11,135,01:41:39,2,0,30,0,0,0,0.2,low,1
2023-wimbledon-1301_S2_G11_P136,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,11,136,01:42:22,3,15,30,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S2_G11_P137,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,11,137,01:43:15,1,15,40,0,0,0,1.1,medium,2
2023-wimbledon-1301_S2_G12_P138,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,12,138,01:45:24,1,0,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G12_P139,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,12,139,01:45:59,1,15,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G12_P140,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,12,140,01:46:38,1,30,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S2_G12_P141,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,12,141,01:47:17,3,40,0,0,0,0,1.3,medium,1
2023-wimbledon-1301_S2_G13_P142,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,142,01:48:12,15,0,0,0,0,1,2.25,high,2
2023-wimbledon-1301_S2_G13_P143,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,143,01:49:11,1,0,1,0,0,1,0.85,medium,1
2023-wimbledon-1301_S2_G13_P144,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,144,01:49:37,13,1,1,0,0,1,2.05,high,1
2023-wimbledon-1301_S2_G13_P145,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,145,01:51:32,1,2,1,0,0,1,0.85,medium,2
2023-wimbledon-1301_S2_G13_P146,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,146,01:52:03,1,2,2,0,0,1,0.85,medium,2
2023-wimbledon-1301_S2_G13_P147,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,147,01:52:41,5,2,3,0,0,1,1.25,medium,1
2023-wimbledon-1301_S2_G13_P148,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,148,01:53:43,1,3,3,0,0,1,0.85,medium,1
2023-wimbledon-1301_S2_G13_P149,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,149,01:54:25,1,4,3,0,0,1,0.85,medium,2
2023-wimbledon-1301_S2_G13_P150,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,150,01:54:57,3,4,4,0,0,1,1.05,medium,2
2023-wimbledon-1301_S2_G13_P151,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,151,01:55:53,5,4,5,0,0,1,1.25,medium,1
2023-wimbledon-1301_S2_G13_P152,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,152,01:56:32,3,5,5,0,0,1,1.05,medium,1
2023-wimbledon-1301_S2_G13_P153,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,153,01:57:11,3,6,5,0,0,1,1.05,medium,2
2023-wimbledon-1301_S2_G13_P154,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,154,01:58:25,1,6,6,0,0,1,0.85,medium,2
2023-wimbledon-1301_S2_G13_P155,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2,13,155,01:59:04,4,6,7,0,0,1,1.15,medium,2
2023-wimbledon-1301_S3_G1_P156,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3,1,156,02:04:05,7,0,0,0,0,0,0.7000000000000001,medium,1
2023-wimbledon-1301_S3_G1_P157,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3,1,157,02:04:50,4,15,0,0,0,0,0.4,low,2
2023-wimbledon-1301_S3_G1_P158,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3,1,158,02:05:38,1,15,15,0,0,0,0.1,low,1
